County Name,Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",Population Education and Child Care Personnel
Anderson,"17,870","27,084","16,550","12,079","50,661","48,045","8,658","2,051",833,"20,206","1,574"
Andrews,"6,100","11,001","6,015","5,186","14,863","13,503","1,833",309,106,"5,450",41
Angelina,"58,100","47,739","26,866","22,578","72,486","67,056","14,422","6,534","1,752","28,054","3,266"
Aransas,"6,840","19,920","11,281","9,297","20,834","19,803","6,791",370,252,"6,701",39
Archer,"3,200","5,615","3,088","2,827","7,388","6,921","1,677",80,13,"2,381",330
Armstrong,"2,100","1,064",596,493,"1,584","1,499",470,32,86,466,0
Atascosa,"19,000","28,239","16,663","12,669","41,738","38,768","7,605","1,124",651,"15,239","1,557"
Austin,"8,700","18,392","10,727","8,826","25,335","23,704","5,933",667,396,"7,873","1,079"
Bailey,"24,135","3,950","2,210","1,933","5,603","5,089","1,036",114,74,"1,982",0
Bandera,"5,100","13,449","7,804","6,464","20,596","19,763","6,439",352,180,"6,555",20
Bastrop,"62,200","59,186","35,578","25,442","74,173","68,839","13,865","1,462",696,"29,356","2,746"
Baylor,"5,550","2,156","1,166","1,085","2,992","2,793",844,137,97,908,0
Bee,"83,660","20,952","11,941","9,443","28,034","26,496","4,091",981,684,"11,359",989
Bell,"222,970","158,306","92,387","72,854","294,905","272,969","40,534","15,894","2,466","95,066","12,910"
Bexar,"1,502,800","1,521,516","868,527","695,023","1,661,614","1,552,823","247,843","100,704","17,248","614,646","61,232"
Blanco,"5,600","9,246","5,172","4,403","10,598","10,092","3,004",90,102,"3,388",303
Borden,0,267,152,136,569,543,174,9,0,163,0
Bosque,"11,100","11,411","6,511","5,560","16,110","15,224","4,741",624,407,"5,126",579
Bowie,"67,090","37,265","21,845","17,827","78,795","73,689","15,832","6,332","1,467","29,102","3,303"
Brazoria,"224,000","273,514","155,389","129,077","310,503","287,683","45,752","9,762","2,648","105,966","12,034"
Brazos,"176,390","162,232","92,417","74,962","198,148","186,843","21,693","7,514","1,414","59,619","6,083"
Brewster,"5,100","7,835","4,510","3,751","8,071","7,706","2,231",303,0,"2,579",255
Briscoe,"1,200",885,475,430,"1,352","1,272",404,19,0,452,0
Brooks,"3,400","5,706","3,141","2,668","5,714","5,317","1,308",323,246,"2,253",22
Brown,"14,800","16,872","10,754","9,255","32,897","30,883","7,720","1,663",911,"11,188","1,112"
Burleson,"4,700","11,312","6,483","5,549","15,888","14,869","3,867",143,218,"5,600",518
Burnet,"38,215","31,335","18,452","14,908","41,525","39,239","10,999","1,823",595,"13,132",94
Caldwell,"15,100","26,401","15,938","12,048","37,400","34,853","6,512","1,286",524,"14,114","1,294"
Calhoun,"7,300","13,732","7,973","6,883","17,988","16,817","3,981",470,384,"6,161",53
Callahan,"3,500","6,589","3,747","3,266","11,949","11,263","2,958",146,122,"4,094",442
Cameron,"377,955","395,682","227,986","180,312","339,698","311,689","58,607","29,737","6,315","127,806","17,059"
Camp,"1,800","6,578","3,776","3,010","10,774","10,031","2,494",207,152,"3,927",0
Carson,"1,800","2,767","1,521","1,313","5,073","4,718","1,250",60,0,"1,547",240
Cass,"5,100","12,191","7,208","5,984","25,670","24,182","6,856","1,216",550,"9,010","1,125"
Castro,"3,100","3,999","2,294","1,840","6,026","5,607","1,236",121,174,"2,168",341
Chambers,"37,400","22,762","13,960","9,379","35,653","33,062","5,259",958,244,"12,484","1,539"
Cherokee,"18,070","22,414","13,194","10,638","44,073","40,876","9,444","1,500",738,"16,376","1,511"
Childress,"5,000","4,187","2,583","1,943","6,419","6,094","1,165",251,136,"2,395",0
Clay,"14,645","6,492","3,498","3,232","9,145","8,666","2,484",136,60,"3,011",384
Cochran,"1,400","1,393",824,733,"2,361","2,188",468,57,0,956,0
Coke,0,"1,847","1,032",856,"2,889","2,756",947,47,130,899,0
Coleman,"3,700","4,098","2,312","1,983","7,133","6,721","2,119",342,162,"2,379",289
Collin,"763,700","924,138","519,249","428,845","865,275","801,716","116,575","38,139","7,817","236,374","34,589"
Collingsworth,"2,200","1,400",802,704,"2,432","2,263",555,80,92,847,0
Colorado,"12,600","14,640","8,707","7,379","18,273","17,107","4,850",853,477,"5,957",613
Comal,"94,530","118,909","69,365","55,792","133,278","125,307","28,528","5,457","1,845","38,712","4,242"
Comanche,"6,890","7,983","4,524","4,012","11,640","10,944","3,330",330,292,"3,738",455
Concho,"2,000","1,810","1,031",862,"2,382","2,288",689,76,66,815,0
Cooke,"18,500","20,719","11,985","9,586","34,774","32,675","7,804",948,552,"11,640","1,051"
Coryell,"38,595","30,697","18,974","12,855","64,702","60,428","8,040","1,178",610,"22,789","2,014"
Cottle,0,779,439,392,"1,181","1,123",339,5,0,446,0
Crane,"3,550","2,164","1,340",847,"3,834","3,554",594,71,110,"1,353",0
Crockett,0,"2,042","1,137",933,"2,885","2,694",612,31,56,"1,031",0
Crosby,"4,050","3,632","1,970","1,721","4,779","4,421","1,085",98,115,"1,771",284
Culberson,"2,000","1,844",981,868,"1,824","1,746",480,67,0,722,0
Dallam,"28,810","4,357","2,500","1,898","5,706","5,217",857,40,0,"2,067",0
Dallas,"1,962,805","1,918,096","1,116,404","866,767","2,181,224","2,028,105","292,117","142,713","21,399","730,851","83,452"
Dawson,"4,600","4,956","2,956","2,174","10,475","9,789","1,898",304,112,"4,206",475
DeWitt,"7,100","11,262","6,548","5,280","17,091","16,110","4,035",319,438,"6,110","1,055"
Deaf Smith,"5,000","8,913","5,225","4,251","14,756","13,439","2,423",238,147,"5,332",0
Delta,"1,700","2,380","1,326","1,140","4,476","4,222","1,118",379,100,"1,580",0
Denton,"567,070","726,046","407,029","339,391","750,269","697,330","93,499","23,806","5,913","257,836","22,330"
Dickens,0,998,560,507,"1,943","1,858",525,21,0,689,0
Dimmit,"23,265","8,311","4,719","3,634","8,187","7,539","1,749",238,175,"3,179",48
Donley,"1,400","1,766","1,022",797,"2,837","2,716",804,27,65,918,0
Duval,"3,800","8,812","5,144","4,072","9,183","8,600","2,031",69,150,"3,541",482
Eastland,"7,340","8,495","5,027","4,120","15,879","14,970","4,054",860,389,"5,393",591
Ector,"117,100","85,727","48,042","39,973","131,546","120,896","15,970","5,303","1,016","50,679",428
Edwards,0,"1,000",543,477,"1,648","1,555",561,24,0,528,0
El Paso,"713,000","788,702","454,512","356,049","688,420","640,180","105,175","35,065","8,383","245,567","27,330"
